PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56615;B Communicatiewetenschap;voltijd onderwijs;vrouw;205;178;181;177;184;169;167;178;208;225
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56627;B Bestuurskunde;voltijd onderwijs;man;140;137;140;158;163;161;159;187;194;184
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56627;B Bestuurskunde;voltijd onderwijs;vrouw;97;116;103;119;101;94;97;135;151;142
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56838;B Sociale Geografie en Planologie;voltijd onderwijs;man;229;210;0;0;0;0;0;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56838;B Sociale Geografie en Planologie;voltijd onderwijs;vrouw;96;87;0;0;0;0;0;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56947;B Geografie, Planologie en Milieu;voltijd onderwijs;man;0;0;198;198;183;198;175;189;203;236
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56947;B Geografie, Planologie en Milieu;voltijd onderwijs;vrouw;0;0;79;76;93;98;98;131;131;146
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56551;B Geneeskunde;voltijd onderwijs;man;384;417;418;400;385;382;381;347;379;394
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56551;B Geneeskunde;voltijd onderwijs;vrouw;802;775;760;723;685;700;676;683;712;689
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56560;B Tandheelkunde;voltijd onderwijs;man;87;76;66;70;65;64;69;70;71;61
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56560;B Tandheelkunde;voltijd onderwijs;vrouw;144;146;151;148;148;148;150;145;150;141
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56990;B Biomedische Wetenschappen;voltijd onderwijs;man;136;126;123;129;123;122;121;107;93;90
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56990;B Biomedische Wetenschappen;voltijd onderwijs;vrouw;206;196;187;186;200;223;207;200;206;212
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);50013;B Natuurwetenschappen;voltijd onderwijs;man;59;56;0;0;0;0;0;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);50013;B Natuurwetenschappen;voltijd onderwijs;vrouw;25;26;0;0;0;0;0;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56842;B Informatiekunde;voltijd onderwijs;man;78;68;42;24;21;11;0;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56842;B Informatiekunde;voltijd onderwijs;vrouw;7;3;4;2;1;1;0;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56857;B Scheikunde;voltijd onderwijs;man;157;129;114;111;126;111;123;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56857;B Scheikunde;voltijd onderwijs;vrouw;63;50;45;42;49;54;54;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56860;B Biologie;voltijd onderwijs;man;283;287;265;299;292;279;259;278;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56860;B Biologie;voltijd onderwijs;vrouw;306;300;281;321;331;342;345;386;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56943;B Chemistry;voltijd onderwijs;man;0;0;0;0;0;0;0;132;142;143
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56943;B Chemistry;voltijd onderwijs;vrouw;0;0;0;0;0;0;0;68;68;77
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56944;B Molecular Life Sciences;voltijd onderwijs;man;0;0;0;0;0;0;0;92;98;86
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56944;B Molecular Life Sciences;voltijd onderwijs;vrouw;0;0;0;0;0;0;0;118;144;174
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56945;B Artificial Intelligence;voltijd onderwijs;man;0;0;0;0;0;0;0;300;290;322
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56945;B Artificial Intelligence;voltijd onderwijs;vrouw;0;0;0;0;0;0;0;139;150;171
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56948;B Science;voltijd onderwijs;man;0;0;57;68;71;77;74;70;67;71
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56948;B Science;voltijd onderwijs;vrouw;0;0;26;35;37;34;34;42;47;44
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56978;B Informatica;voltijd onderwijs;man;125;145;112;144;178;212;245;277;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56978;B Informatica;voltijd onderwijs;vrouw;7;11;9;11;12;19;22;34;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56980;B Wiskunde;voltijd onderwijs;man;97;96;95;99;107;105;95;116;108;109
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56980;B Wiskunde;voltijd onderwijs;vrouw;46;50;47;55;57;57;45;52;64;60
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56981;B Kunstmatige Intelligentie;voltijd onderwijs;man;91;107;122;141;155;196;245;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56981;B Kunstmatige Intelligentie;voltijd onderwijs;vrouw;34;39;35;46;53;76;106;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56984;B Natuur- en Sterrenkunde;voltijd onderwijs;man;129;158;161;201;227;220;213;219;231;247
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56984;B Natuur- en Sterrenkunde;voltijd onderwijs;vrouw;35;33;34;40;35;36;41;41;54;73
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59304;B Moleculaire Levenswetenschappen;voltijd onderwijs;man;87;76;65;82;69;76;89;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59304;B Moleculaire Levenswetenschappen;voltijd onderwijs;vrouw;85;108;102;105;84;85;91;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59325;B Biology;voltijd onderwijs;man;0;0;0;0;0;0;0;0;247;227
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59325;B Biology;voltijd onderwijs;vrouw;0;0;0;0;0;0;0;0;358;335
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59326;B Computing Science;voltijd onderwijs;man;0;0;0;0;0;0;0;0;358;420
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59326;B Computing Science;voltijd onderwijs;vrouw;0;0;0;0;0;0;0;0;45;68
